title,category,date,longitude,latitude,year,month
"RX Pilot Knob Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-24 10:16:00+00:00,-93.725278,34.725556,2026,2
"RX Optimus South Prescribed Fire, Stone, Arkansas",Wildfires,2026-02-24 09:36:00+00:00,-92.072583,36.035861,2026,2
"RX PCS Kingdoodle Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-24 09:34:00+00:00,-93.847919,34.959516,2026,2
"RX FY26 North River Road  BIL Prescribed Fire, Newton, Arkansas",Wildfires,2026-02-24 09:26:00+00:00,-93.163889,36.059167,2026,2
"IDNR - Cache RIver SNA RX Prescribed Fire, Johnson, Illinois",Wildfires,2026-02-24 09:25:00+00:00,-88.941,37.336,2026,2
"RX Little Fir 16 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-24 09:03:00+00:00,-93.451667,34.611389,2026,2
"19S/20N RX Prescribed Fire, Jones, Georgia",Wildfires,2026-02-24 08:21:00+00:00,-83.73,33.0759,2026,2
"Compartment 23/24 RX Prescribed Fire, Hale, Alabama",Wildfires,2026-02-24 07:57:00+00:00,-87.435335,32.965332,2026,2
"Savage Highway Wildfire, Pittsburg, Oklahoma",Wildfires,2026-02-23 22:10:00+00:00,-95.58,34.7519444,2026,2
"Boggy Wilderness Wildfire, Houston, Texas",Wildfires,2026-02-23 17:35:00+00:00,-95.111848,31.510818,2026,2
"Holmes Chapel RX Prescribed Fire, Winston, Alabama",Wildfires,2026-02-23 09:55:00+00:00,-87.266682,34.269135,2026,2
"Brushy Lake RX Prescribed Fire, Winston, Alabama",Wildfires,2026-02-23 09:53:00+00:00,-87.266349,34.289173,2026,2
"RX PCS Sugar Creek 4 and 5 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-23 09:36:00+00:00,-93.829095,34.982759,2026,2
"Compartment 13B RX Prescribed Fire, Bibb, Alabama",Wildfires,2026-02-23 09:13:00+00:00,-87.352546,32.98844,2026,2
"Compartment 01/02/03 RX Prescribed Fire, Tuscaloosa, Alabama",Wildfires,2026-02-23 09:12:00+00:00,-87.451253,33.017849,2026,2
"RX Little Fir 7 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-23 08:31:00+00:00,-93.530278,34.571389,2026,2
"RX Vanderslice Unit 1 2 3 4 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-23 08:19:00+00:00,-93.47575,34.652972,2026,2
"RX Posey Hollow Prescribed Fire, Polk, Arkansas",Wildfires,2026-02-23 08:12:00+00:00,-93.965833,34.660556,2026,2
"RX South Fouche Cove Unit 2 Prescribed Fire, Perry, Arkansas",Wildfires,2026-02-23 08:07:00+00:00,-93.103583,34.924972,2026,2
"RX North Blue Prescribed Fire, Le Flore, Oklahoma",Wildfires,2026-02-23 08:06:00+00:00,-94.846833,34.841983,2026,2
"National Wildfire, Collier, Florida",Wildfires,2026-02-23 07:14:00+00:00,-81.336917,26.11905,2026,2
"Hwy. 301 Wildfire, Charlton, Georgia",Wildfires,2026-02-22 20:32:00+00:00,-82.0136111,30.8805556,2026,2
"Pine Hollow RX Prescribed Fire, Barry, Missouri",Wildfires,2026-02-22 18:12:00+00:00,-93.827667,36.545667,2026,2
